type,nmax,nsteps,temp,order,threads,time
cython,200,50,0.5,0.26878619877691934,1,0.5385706424713135
cython,200,50,0.5,0.2657528811174176,1,0.5498740673065186
cython,400,50,0.5,0.25348349195164566,1,2.1150431632995605
cython,400,50,0.5,0.25713751491342973,1,2.112870931625366
cython,400,50,0.5,0.257963093317842,1,2.086033344268799
cython,400,50,0.5,0.2545853584963438,1,2.1093292236328125
cython,400,50,0.5,0.26477654326811123,1,2.073784112930298
cython,800,50,0.5,0.2586623514563032,1,8.537392854690552
cython,800,50,0.5,0.2577728528736496,1,8.493250608444214
cython,800,50,0.5,0.25440778050956564,1,8.583518266677856
cython,800,50,0.5,0.2517938699640754,1,8.42123818397522
cython,800,50,0.5,0.25191140741587137,1,8.47441291809082
cuda,10,50,0.5,0.4114767664957345,256,1.8018336296081543
cuda,10,50,0.5,0.4089700170616649,256,1.622663974761963
cuda,10,50,0.5,0.4315221685451663,256,1.6935608386993408
cuda,10,50,0.5,0.45972597238504764,256,1.5495808124542236
cuda,10,50,0.5,0.3835014778071434,256,1.5194342136383057
cuda,50,50,0.5,0.2587720445835377,4096,1.5309414863586426
cuda,50,50,0.5,0.26236337812268945,4096,1.551511526107788
cuda,50,50,0.5,0.2711479374520508,4096,1.6620752811431885
cuda,50,50,0.5,0.2705794352262837,4096,1.6121811866760254
cuda,50,50,0.5,0.2828791738025786,4096,1.576859712600708
cuda,100,50,0.5,0.2878927724762289,12544,1.6314671039581299
cuda,100,50,0.5,0.2532465458648394,12544,1.622304916381836
cuda,100,50,0.5,0.2778408671842517,12544,1.5680487155914307
cuda,100,50,0.5,0.2563982053015329,12544,1.5601201057434082
cuda,100,50,0.5,0.2702685150172168,12544,1.610422134399414
cuda,200,50,0.5,0.25450302180824014,43264,1.7104997634887695
cuda,200,50,0.5,0.25604679511121115,43264,1.751905918121338
cuda,200,50,0.5,0.26120597270952034,43264,1.8322958946228027
cuda,200,50,0.5,0.25409636121655393,43264,1.7222352027893066
cuda,200,50,0.5,0.25448684980650627,43264,1.6686210632324219
cuda,400,50,0.5,0.2557872777170262,160000,2.2729411125183105
cuda,400,50,0.5,0.2633531026068917,160000,2.274399995803833
cuda,400,50,0.5,0.26001972923177213,160000,2.2930710315704346
cuda,400,50,0.5,0.2615297978707921,160000,2.284809112548828
cuda,400,50,0.5,0.2545983536816108,160000,2.28397536277771
cuda,800,50,0.5,0.2570489145641916,640000,4.523765325546265
cuda,800,50,0.5,0.25121075321782815,640000,4.577860116958618
cuda,800,50,0.5,0.2555354700173745,640000,4.575470685958862
cuda,800,50,0.5,0.2524037619947857,640000,4.666646242141724
cuda,800,50,0.5,0.254122674691285,640000,4.53017258644104
cython,1600,50,0.5,0.2548837252142838,1,39.403980016708374
cython,1600,50,0.5,0.25453149189347113,1,39.53914022445679
cython,1600,50,0.5,0.2526351859735708,1,39.33588695526123
cython,1600,50,0.5,0.25222800301678794,1,39.184717893600464
cython,1600,50,0.5,0.252899205091414,1,40.89185094833374
numba,1600,50,0.5,0.2546987772202228,1,42.77375268936157
numba,1600,50,0.5,0.253630619036559,1,42.77649450302124
numba,1600,50,0.5,0.2514068670988145,1,42.69367504119873
numba,1600,50,0.5,0.2543680046751104,1,42.88330674171448
numba,1600,50,0.5,0.25432045764449246,1,42.881707191467285
numpy_sequential,800,50,0.5,0.2572160935419793,1,191.67636156082153
numpy_sequential,800,50,0.5,0.2562676820302916,1,186.45019245147705
numpy_sequential,800,50,0.5,0.2572902342529746,1,187.62096190452576
numpy_sequential,800,50,0.5,0.2574341609220539,1,184.4313771724701
numpy_sequential,800,50,0.5,0.26060154750765124,1,188.6740860939026
cuda,1600,50,0.5,0.2513473733857282,2560000,15.094653129577637
cuda,1600,50,0.5,0.2519523415244063,2560000,14.70965313911438
cuda,1600,50,0.5,0.2510672420469969,2560000,14.51834487915039
cuda,1600,50,0.5,0.2524734081834941,2560000,15.190735578536987
cuda,1600,50,0.5,0.25167895006012114,2560000,14.769898176193237
numpy,800,50,0.5,0.2562263650360623,1,20.785527229309082
numpy,800,50,0.5,0.2562263650360623,1,20.213836193084717
numpy,800,50,0.5,0.2562263650360623,1,20.279584407806396
numpy,800,50,0.5,0.2562263650360623,1,20.364137172698975
numpy,800,50,0.5,0.2562263650360623,1,20.551464319229126
cpp,1600,50,0,0.505419,1,40.505
cpp,1600,50,0,0.507225,1,40.566
cpp,1600,50,0,0.507902,1,40.915
cpp,1600,50,0,0.508368,1,40.643
cpp,1600,50,0,0.50706,1,40.566
cuda,1600,50,0.5,0.2517104608912209,2560000,14.91521692276001
cuda,1600,50,0.5,0.25234652405415925,2560000,15.019755601882935
cuda,1600,50,0.5,0.25231316808603116,2560000,15.298244953155518
cuda,1600,50,0.5,0.2552839405802073,2560000,15.17582368850708
cuda,1600,50,0.5,0.25169043803793756,2560000,15.10872197151184
cuda,3200,50,0.5,0.25073029219747256,10240000,46.82918977737427
cuda,3200,50,0.5,0.2519085834361084,10240000,46.465843200683594
cuda,3200,50,0.5,0.25065431298319074,10240000,46.61705446243286
cuda,3200,50,0.5,0.25111193152816047,10240000,48.266528606414795
cuda,3200,50,0.5,0.25024158024752075,10240000,48.36329221725464
