         1005431 function calls (990802 primitive calls) in 0.998 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.007    0.007 common.py:8(pyparsing_common)
        1    0.000    0.000    0.007    0.007 mathtext.py:1(<module>)
        1    0.000    0.000    0.007    0.007 helpers.py:1(<module>)
        1    0.000    0.000    0.007    0.007 ticker.py:1(<module>)
        1    0.000    0.000    0.007    0.007 legend.py:1(<module>)
      314    0.001    0.000    0.007    0.000 overrides.py:170(decorator)
        1    0.000    0.000    0.007    0.007 artist.py:1(<module>)
        3    0.000    0.000    0.006    0.002 patches.py:2211(__init_subclass__)
        6    0.000    0.000    0.006    0.001 patches.py:2253(pprint_styles)
        1    0.000    0.000    0.006    0.006 table.py:1(<module>)
        2    0.000    0.000    0.006    0.003 shape_base.py:1(<module>)
        1    0.000    0.000    0.006    0.006 cbook.py:1(<module>)
        5    0.000    0.000    0.006    0.001 _version.py:1(<module>)
     8887    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
     6446    0.004    0.000    0.006    0.000 enum.py:688(__call__)
      410    0.004    0.000    0.006    0.000 enum.py:242(__set_name__)
        6    0.000    0.000    0.006    0.001 patches.py:2257(<listcomp>)
       48    0.003    0.000    0.006    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.006    0.006 hmac.py:1(<module>)
        1    0.000    0.000    0.006    0.006 cm.py:32(_gen_cmap_registry)
        1    0.000    0.000    0.006    0.006 __init__.py:335(_sanity_check)
        1    0.006    0.006    0.006    0.006 {method 'dot' of 'numpy.ndarray' objects}
      607    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1424(_path_importer_cache)
        1    0.000    0.000    0.005    0.005 tz.py:1(<module>)
       12    0.000    0.000    0.005    0.000 core.py:1076(parse_string)
        1    0.000    0.000    0.005    0.005 font_manager.py:1564(_load_fontmanager)
        1    0.000    0.000    0.005    0.005 _mathtext.py:1(<module>)
      300    0.005    0.000    0.005    0.000 {method '__exit__' of '_io._IOBase' objects}
      331    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:169(__enter__)
     7315    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.005    0.005 font_manager.py:970(json_load)
        1    0.000    0.000    0.005    0.005 __init__.py:274(load)
       32    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1411(_path_hooks)
        1    0.000    0.000    0.005    0.005 linalg.py:1(<module>)
        1    0.000    0.000    0.005    0.005 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.005    0.005 transforms.py:1(<module>)
        2    0.000    0.000    0.005    0.002 __init__.py:299(loads)
        2    0.000    0.000    0.005    0.002 decoder.py:332(decode)
        2    0.001    0.001    0.005    0.002 decoder.py:343(raw_decode)
        1    0.000    0.000    0.005    0.005 parse.py:1(<module>)
     2674    0.003    0.000    0.005    0.000 cbook.py:405(_strip_comment)
        1    0.000    0.000    0.005    0.005 units.py:1(<module>)
      715    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.004    0.004 backend_tools.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _tricontour.py:1(<module>)
      409    0.001    0.000    0.004    0.000 rcsetup.py:307(validate_color)
       13    0.000    0.000    0.004    0.000 rcsetup.py:401(validate_font_properties)
       10    0.000    0.000    0.004    0.000 _fontconfig_pattern.py:80(parse_fontconfig_pattern)
        1    0.000    0.000    0.004    0.004 exceptions.py:1(<module>)
       32    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1658(_fill_cache)
      284    0.001    0.000    0.004    0.000 overrides.py:88(verify_matching_signatures)
        1    0.000    0.000    0.004    0.004 pickle.py:1(<module>)
      199    0.001    0.000    0.004    0.000 _compiler.py:511(_compile_info)
  210/198    0.000    0.000    0.004    0.000 typing.py:373(inner)
      297    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1602(_get_spec)
        9    0.000    0.000    0.004    0.000 core.py:5392(__init__)
   306/12    0.001    0.000    0.004    0.000 core.py:776(_parseNoCache)
       30    0.002    0.000    0.004    0.000 __init__.py:350(namedtuple)
      317    0.001    0.000    0.004    0.000 function_base.py:483(add_newdoc)
    72/12    0.000    0.000    0.004    0.000 core.py:3861(parseImpl)
        1    0.000    0.000    0.004    0.004 bz2.py:1(<module>)
     29/8    0.000    0.000    0.004    0.000 core.py:4379(leave_whitespace)
        1    0.000    0.000    0.004    0.004 _add_newdocs.py:1(<module>)
      111    0.000    0.000    0.004    0.000 rcsetup.py:88(f)
     6843    0.003    0.000    0.004    0.000 _parser.py:168(__getitem__)
     4747    0.002    0.000    0.004    0.000 _parser.py:261(get)
      704    0.002    0.000    0.004    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.004    0.004 dates.py:1(<module>)
      409    0.001    0.000    0.004    0.000 core.py:499(copy)
    34150    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
      412    0.000    0.000    0.004    0.000 colors.py:221(is_color_like)
      496    0.002    0.000    0.004    0.000 enum.py:367(__setitem__)
      459    0.001    0.000    0.004    0.000 font_manager.py:928(_json_decode)
        1    0.000    0.000    0.003    0.003 spines.py:1(<module>)
